#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
8.28 D 3.2017 2.6347
8.29 D 3.3186 3.0198
8.30 D 3.2736 2.8200
8.31 D 3.4628 2.8014
8.32 D 3.3522 2.7597
8.33 D 3.4688 3.2969
8.34 D 2.9872 3.1501
8.35 D 2.8134 2.7310
8.36 D 2.9927 2.8319
8.37 D 2.9491 2.7126
8.38 D 3.2675 2.8502
8.39 D 3.0502 2.8075
8.40 D 2.9876 2.9759
8.41 D 3.2925 2.8672
8.42 D 3.0285 2.6260
8.43 D 3.0774 2.8368
8.44 D 3.1632 2.7145
8.45 D 3.1501 2.6523
8.46 D 3.0525 2.9217
8.47 D 2.9916 2.8465
8.48 D 3.3354 2.7811
8.49 D 3.0055 2.8662
8.50 D 3.1420 3.0906
8.51 D 3.1876 3.1830
8.52 D 3.0085 2.7114
8.53 D 3.8182 2.6763
8.54 D 3.2892 2.9523
8.55 D 3.1899 2.6423
8.56 D 3.3521 2.9933
8.57 D 3.1354 2.8473
8.58 D 3.1089 2.7735
8.59 D 3.2932 3.3258
8.60 D 3.4156 3.0368
8.61 D 3.1592 2.9692
8.62 D 3.4678 3.1036
